"type","id","author","editor","advisor","note","title","pages","article_no","num_pages","keywords","doi","journal","issue_date","volume","issue_no","description","month","year","issn","booktitle","acronym","edition","isbn","conf_loc","publisher","publisher_loc"
"article","3140656","Hossein  Shafagh and Lukas  Burkhalter and Anwar  Hithnawi and Simon  Duquennoy","","","","Towards Blockchain-based Auditable Storage and Sharing of IoT Data","45--50","","6","access control, blockchain, cloud, edge, iot, security, time-series","10.1145/3140649.3140656","","","","","","","2017","","Proceedings of the 2017 on Cloud Computing Security Workshop","CCSW '17","","978-1-4503-5204-8","Dallas, Texas, USA","ACM","New York, NY, USA"
"proceeding","3205230","","","","Program Chair-Satya  Lokam and Program Chair-Sushmita  Ruj and Program Chair-Kouichi  Sakurai","","","","","","","","","","","","","2018","","Proceedings of the 2Nd ACM Workshop on Blockchains, Cryptocurrencies, and Contracts","","","978-1-4503-5758-6","Incheon, Republic of Korea","ACM","New York, NY, USA"
"proceeding","3055518","","","","Program Chair-Satya  Lokam and Program Chair-Sushmita  Ruj and Program Chair-Kouichi  Sakurai","","","","","","","","","","","","","2017","","Proceedings of the ACM Workshop on Blockchain, Cryptocurrencies and Contracts","","","978-1-4503-4974-1","Abu Dhabi, United Arab Emirates","ACM","New York, NY, USA"
"proceeding","3055245","","","","Program Chair-Richard  Chow and Program Chair-Gokay  Saldamli","","","","","","","","","","","","","2017","","Proceedings of the 3rd ACM International Workshop on IoT Privacy, Trust, and Security","","","978-1-4503-4969-7","Abu Dhabi, United Arab Emirates","ACM","New York, NY, USA"
"article","3229569","Nikolaos  Alexopoulos and Sheikh Mahbub Habib and Max  M&#252;hlh&#228;user","","","","Towards Secure Distributed Trust Management on a Global Scale: An Analytical Approach for Applying Distributed Ledgers for Authorization in the IoT","49--54","","6","","10.1145/3229565.3229569","","","","","","","2018","","Proceedings of the 2018 Workshop on IoT Security and Privacy","IoT S&#38;P '18","","978-1-4503-5905-4","Budapest, Hungary","ACM","New York, NY, USA"
"article","3283551","Sibin  Mohan and Mikael  Asplund and Gedare  Bloom and Ahmad-Reza  Sadeghi and Ahmad  Ibrahim and Negin  Salajageh and Paul  Griffioen and Bruno  Sinopoli","","","","The Future of IoT Security: Special Session","16:1--16:7","16","7","","","","","","","","","2018","","Proceedings of the International Conference on Embedded Software","EMSOFT '18","","978-1-5386-5564-1","Turin, Italy","IEEE Press","Piscataway, NJ, USA"
"article","3278166","Aaron Yi Ding and Marijn  Janssen","","","","Opportunities for Applications Using 5G Networks: Requirements, Challenges, and Outlook","27--34","","8","5G systems, IoT, edge computing, pilot, smart city","10.1145/3278161.3278166","","","","","","","2018","","Proceedings of the Seventh International Conference on Telecommunications and Remote Sensing","ICTRS '18","","978-1-4503-6580-2","Barcelona, Spain","ACM","New York, NY, USA"
"article","3049937","Stephen  Perelgut and Colette  Lacroix","","","","Hands-on: Implement Your First Blockchain Solution","350--350","","1","","","","","","","","","2016","","Proceedings of the 26th Annual International Conference on Computer Science and Software Engineering","CASCON '16","","","Toronto, Ontario, Canada","IBM Corp.","Riverton, NJ, USA"
"article","3016029","Ajay Kumar Shrestha and Julita  Vassileva","","","","Towards Decentralized Data Storage in General Cloud Platform for Meta-products","60:1--60:7","60","7","Blockchain, Cloud Computing, Cloud Services, Distributed Architecture, IOT, Meta-Products, Smart Contract","10.1145/3010089.3016029","","","","","","","2016","","Proceedings of the International Conference on Big Data and Advanced Wireless Technologies","BDAW '16","","978-1-4503-4779-2","Blagoevgrad, Bulgaria","ACM","New York, NY, USA"
"proceeding","3264437","","","","Program Chair-Philipp  Reinecke and Conference Chair-Pete  Burnap and Program Chair-Naghmeh  Moradpoor and Conference Chair-Atilla  El�i and Program Chair-George  Theodorakopoulos and Conference Chair-Omer  Rana and Program Chair-Koray  Karabina","","","","","","","","","","","","","2018","","Proceedings of the 11th International Conference on Security of Information and Networks","","","978-1-4503-6608-3","Cardiff, United Kingdom","ACM","New York, NY, USA"
"article","3267499","Jianping  Zhu and Wei  Song and Ziyuan  Zhu and Jiameng  Ying and Boya  Li and Bibo  Tu and Gang  Shi and Rui  Hou and Dan  Meng","","","","CPU Security Benchmark","8--14","","7","comprehensive benchmark, cpu security, vulnerability detection","10.1145/3267494.3267499","","","","","","","2018","","Proceedings of the 1st Workshop on Security-Oriented Designs of Computer Architectures and Processors","SecArch'18","","978-1-4503-5991-7","Toronto, Canada","ACM","New York, NY, USA"
"proceeding","3243734","","","","General Chair-David  Lie and General Chair-Mohammad  Mannan and Program Chair-Michael  Backes and Program Chair-XiaoFeng  Wang","","","","","","","","","","","","","2018","","Proceedings of the 2018 ACM SIGSAC Conference on Computer and Communications Security","","","978-1-4503-5693-0","Toronto, Canada","ACM","New York, NY, USA"
"proceeding","3052973","","","","General Chair-Ramesh  Karri and General Chair-Ozgur  Sinanoglu and Program Chair-Ahmad-Reza  Sadeghi and Program Chair-Xun  Yi","","","","","","","","","","","","","2017","","Proceedings of the 2017 ACM on Asia Conference on Computer and Communications Security","","","978-1-4503-4944-4","Abu Dhabi, United Arab Emirates","ACM","New York, NY, USA"
